0, salesforce, Salesforce Commerce Cloud, Veeva CRM, Appian, Jira Software, Braze, Pega Platform, Asana, Microsoft BI (MSBI), Outreach, SAP SuccessFactors, ,,,,,,,
1, shopify, Pirate Ship, Google Domains, React, UENI, Flipkart Seller Hub, Salesforce Commerce Cloud, Mirakl Marketplace Platform, Adyen, SAP Commerce Cloud, Joomla, ,,,,,,,
2, servicenow, BMC Helix ITSM (Remedy), Microsoft Dynamics 365, IBM Maximo, Amazon Web Services, ConnectWise Manage, Microsoft Power BI, SAP ERP, Pega Platform, Salesforce Service Cloud, Ivanti Service Manager, ,,,,,,,
3, hubspot, Adobe Marketo Engage, Pardot, SharpSpring from Constant Contact, Mailchimp, Salesforce Marketing Cloud Email Studio, Oracle CX Marketing (formerly Oracle Marketing Cloud), Microsoft Dynamics 365 Marketing, Braze, monday.com, HubSpot CRM, ,,,,,,,
4, kubernetes, Proxmox VE, Nomad, Hyper-V, VMware ESXi, Cloudera Manager, Hortonworks Data Platform, RabbitMQ, Oracle VM VirtualBox, Adobe Experience Manager, Amazon CloudWatch, ,,,,,,,
5, magento, Adobe Experience Manager, commercetools, Salesforce Commerce Cloud, SAP Commerce Cloud, Adobe Target, BigCommerce, Shopify Plus, Shopify, Kentico Xperience, Optimizely Commerce Cloud (formerly Episerver Commerce Cloud), ,,,,,,,
6, netsuite, Oracle Cloud ERP, Infor ERP, Oracle Hyperion, Odoo, SAP Business ByDesign, SAP Business One, Oracle JD Edwards EnterpriseOne, Sage Intacct, Oracle Cloud EPM, Microsoft Dynamics 365 Business Central (formerly Dynamics NAV), ,,,,,,,
7, zendesk, Microsoft Dynamics 365, Salesforce Service Cloud, Jira Service Management (Jira Service Desk), Freshdesk, ServiceNow IT Service Management, Salesforce, Asana, LiveAgent, Front, BMC Helix ITSM (Remedy), ,,,,,,,
8, slack, Nextcloud, Google Meet, Chanty, Chatter, Workplace from Meta, ClickUp, Cisco Jabber, Google Classroom, RingCentral MVP, Google Keep, ,,,,,,,
9, splunk, New Relic, Amazon CloudWatch, Datadog, PRTG, Zabbix, Darktrace, Microsoft Azure, AlienVault USM, ServiceNow IT Service Management, SolarWinds Kiwi Syslog Server, ,,,,,,,
10, zoom, GoTo Webinar, Whereby, Adobe Connect, Discord, Google Classroom, Microsoft Teams, Webex Meetings, AnyDesk, Amazon Chime, Blackboard Collaborate, ,,,,,,,
11, jira, Rally Software (formerly CA Agile Central), Azure DevOps Services, IBM Rational Team Concert, Polarion ALM, Atlassian Jira Align (formerly AgileCraft), Salesforce, Microsoft 365 (formerly Office 365), Jenkins, Jama Connect, Selenium, ,,,,,,,
12, marketo, HubSpot Marketing Hub, Pardot, SharpSpring from Constant Contact, Mailchimp, Oracle CX Marketing (formerly Oracle Marketing Cloud), Adobe Campaign, Adobe Experience Manager, Microsoft Dynamics 365, Microsoft Dynamics 365 Marketing, Salesforce Marketing Cloud Email Studio, ,,,,,,,
13, kronos, UKG Pro, Ascentis, UKG Dimensions, ADP Workforce Now, UKG Workforce Central, Workday HCM, Ceridian Dayforce HCM, TimeClock Plus, Paylocity, Oracle Cloud HCM, ,,,,,,,
14, stripe, WooCommerce, Marqeta, Google Pay, Paddle, Airwallex, Worldpay from FIS, Bolt, Payoneer, Paytm, TransferWise, ,,,,,,,
15, nimble, Cloze, Salesflare, Freshworks CRM (formerly Freshsales), OnePageCRM, LinkedIn Sales Navigator, Microsoft Dynamics 365, Pipedrive, HubSpot CRM, Solutionreach, Trello, ,,,,,,,
16, klaviyo, Privy, AWeber, ActiveCampaign, Salesforce Marketing Cloud Email Studio, Omnisend, Mautic, Sendinblue, Bloomreach Commerce Experience Cloud, MailerLite, SALESmanago CDP & Marketing Automation, ,,,,,,,
17, greenhouse, Workable, SmartRecruiters, Workday HCM, Breezy HR, iCIMS, Lever, Jobvite, BambooHR, SAP ERP, LinkedIn Talent Hub, ,,,,,,,
18, twilio, Amazon SNS, Google Authenticator, Amazon Chime, Sinch, Firebase, Vonage Communications APIs (formerly Nexmo), Zoom, OneSignal, Amazon Cognito, Amazon Connect, ,,,,,,,
19, crowdstrike, Microsoft Defender for Endpoint (formerly Microsoft Defender ATP), Darktrace, SentinelOne, Sophos Intercept X, Forcepoint DLP, Tanium, Cisco Secure Endpoint (formerly Cisco AMP), Trend Micro Apex One (formerly OfficeScan), Bitdefender GravityZone, Cloudflare, ,,,,,,,
20, okta, Amazon Cognito, Google Authenticator, Cisco Secure Access by Duo, Azure Active Directory, Workspace ONE Access (formerly VMware Identity Manager), Firebase, Transmit Security, SailPoint Identity Platform, OneLogin, JumpCloud, ,,,,,,,
21, drupal, Laravel PHP Framework, Umbraco CMS, Liferay Digital Experience Platform (DXP), Symfony, Salesforce Experience Cloud (formerly Salesforce Community Cloud), Wix, ASP.NET, Adobe Experience Manager, Plone, Kentico Xperience, ,,,,,,,
22, canvas, Google Classroom, Blackboard Learn, Canva, Brightspace, Moodle, Microsoft Teams, Articulate 360, Schoology Learning, Edmodo, Sakai, ,,,,,,,
23, teladoc, DocsApp, doxy.me, Amwell AW8, Maple, AGNES Interactive, BANYAN AURA Platform, Babylon Health, MDLIVE Virtual Medical Office, VCDoctor, ,,,,,,,,
24, advancedehr, UpToDate, eClinicalWorks, Epic, Intergy EHR, ClearCare, Practice Fusion, athenaClinicals, Allscripts Professional EHR, Insync Healthcare Solutions, CareLogic EHR, by Qualifacts, ,,,,,,
25, curemd, Kareo EHR, Epic, Practice Fusion, athenaClinicals, AdvancedPM, by AdvancedMD, eClinicalWorks, Intergy EHR, ClearCare, Allscripts Professional EHR, Insync Healthcare Solutions, CareLogic EHR, by Qualifacts, ,,,,
26, advancedbilling, athenaIDX (formerly Centricity Practice Solution from GE Healthcare), Kareo Medical Billing, Salesforce Health Cloud, athenaCollector, Artsyl ClaimAction, AllegianceMD Billing, Altapoint Medical, Medica Billing Solutions, Rectangle Health, ,,,,,,,,
27, wix, IONOS, by 1&1, Drupal, Medium, Blogger, Umbraco CMS, Elementor, Pixpa, Tumblr, Big Cartel, Sitecore Experience Manager, ,,,,,,
28, lever, Greenhouse, Workable, Breezy HR, JazzHR, Jobvite, Workday HCM, Bullhorn ATS & CRM, SmartRecruiters, ClearCompany, LinkedIn Talent Hub, ,,,,,,,
29, shipstation, Pirate Ship, ShipperHQ, Narvar, Easyship, CommerceHub, Linnworks, ShippingEasy, Happy Returns, Shippo, Ordoro, ,,,,,,,
30, mailchimp, Google Workspace (formerly G Suite), HubSpot Marketing Hub, Adobe Marketo Engage, Microsoft Dynamics 365, SMTP Email Relay Solutions, Salesforce Marketing Cloud Email Studio, Ascend, by Wix, Mailgun, from Pathwire, Google Forms, Amazon SES, ,,,,,
31, databricks, Azure HDInsight, Google BigQuery, AWS Glue, Amazon Redshift, Amazon EMR, Snowflake, Apache Spark, Cloudera Data Platform, Microsoft SQL Server, Amazon SageMaker, ,,,,,,,
32, postgresql, Azure SQL Database, MariaDB Platform, Amazon DynamoDB, Snowflake, DBeaver, Firebase, Oracle APEX, DB2, Progress OpenEdge, Cassandra, ,,,,,,,
33, tableau, Tableau Online, Microsoft Power BI, TIBCO Spotfire, Amazon QuickSight, Tableau Public, IBM SPSS, SAP Analytics Cloud, Microsoft Access, Tableau Prep, Datorama, ,,,,,,,
34, bamboohr, Hibob, Rippling, ADP Workforce Now, Namely, Sage People, Microsoft Dynamics 365, Greenhouse, Workday HCM, Gusto, Sage HRMS, ,,,,,,,
35, react, Laravel PHP Framework, WordPress, PowerApps, Symfony, Shopify, Salesforce Commerce Cloud, OutSystems, Squarespace, Mendix, CodeIgniter, ,,,,,,,
36, salesloft, Outreach, Gong, HubSpot Sales Hub, Groove, Calendly, Yesware, Revenue.io (formerly RingDNA), Pardot, Apollo, High Velocity Sales, ,,,,,,,
37, docker, Proxmox VE, VMware ESXi, Hyper-V, Terraform, Citrix Hypervisor, Nomad, Nagios Log Server, Git, Spinnaker, GitHub, ,,,,,,,
38, paylocity, ADP Workforce Now, Paycom, Paychex Flex, Paycor, UKG Pro, QuickBooks Desktop Pro, ADP TotalSource, UKG Ready, CATS ATS, Ceridian Dayforce HCM, ,,,,,,,
39, acumatica, Microsoft Dynamics 365 Business Central (formerly Dynamics NAV), Epicor Kinetic (formerly Epicor ERP), Odoo, Oracle Cloud ERP, Viewpoint Spectrum, SAP Business One, NetSuite ERP, Sage X3, Vista by Viewpoint, SAP S/4HANA, ,,,,,,,
40, nutanix, VMware vSAN, Dell EMC VxRail, Cisco HyperFlex, VMware ESXi, Proxmox VE, Scale Computing HC3, Red Hat Ceph Storage, vCenter Server, Hyper-V, Azure Virtual Machines, ,,,,,,,
41, procore, Bluebeam Revu, Autodesk Bim 360, PlanGrid, Trimble ProjectSight (Prolog), e-Builder, Oracle Aconex, InEight, Microsoft Project, Primavera Unifier, Sage 100 Contractor, ,,,,,,,
42, docusign, Adobe Acrobat Sign, Adobe Acrobat DC, Conga Sign, Conga Document Generation, PandaDoc, Microsoft Power Automate, PDFfiller, SignRequest, ziplogix Digital Ink, SignNow, ,,,,,,,
43, atlassian, OneNote, Microsoft 365 (formerly Office 365), Azure DevOps Server (formerly TMS), Microsoft Teams, Google Drive, GitHub, SharePoint, Nextcloud, WordPress, Google Workspace (formerly G Suite), ,,,,,,,
44, datadog, New Relic, Sentry, Splunk Enterprise, Dynatrace, PagerDuty, Elasticsearch, Amazon CloudWatch, Kibana, Azure Monitor, Firebase Crashlytics, ,,,,,,,
45, mindbody, Square POS, Acuity Scheduling, a Squarespace company, Booker, WellnessLiving, Zen Planner, Schedulicity, Shopify, TeamSnap, TeamUp, Pike13, ,,,,,,
46, sitecore, Adobe Experience Manager, Optimizely Web Experimentation, HCL Digital Experience (formerly IBM WebSphere Portal & Web Content Manager), Liferay Digital Experience Platform (DXP), Contentful, SAP Commerce Cloud, Drupal, Adobe Marketo Engage, Salesforce Commerce Cloud, Microsoft Dynamics 365 Marketing, ,,,,,,,
47, ringcentral, Zoom Phone, Google Voice, AT&T Office@Hand, Cisco Unified Communications Manager (Call Manager), 3CX, GoTo Connect, Twilio, Zoom, Slack, 8x8 X Series, ,,,,,,,
48, bullhorn, JobDiva, iCIMS, Microsoft Dynamics 365, Salesforce, HubSpot CRM, Vincere, Zoho Recruit, Greenhouse, Adapt by Bullhorn (formerly Bond AdaptUX), SAP Fieldglass, ,,,,,,,
49, squarespace, React, Medium, Klarna Checkout, Drupal, Blogger, Elementor, Joomla, BigCommerce, Adobe Experience Manager, Ecwid by Lightspeed, ,,,,,,,
50, mysql, SQL Developer, Microsoft Access, Elasticsearch, Google BigQuery, InfluxDB, Snowflake, DBeaver, SingleStore (formerly MemSQL), Oracle APEX, FileMaker Pro, ,,,,,,,
51, heroku, Cloudflare, Microsoft Azure, Firebase, DigitalOcean App Platform (Nanobox), Salesforce Lightning Platform (formerly Salesforce App Cloud), Amazon Elastic Container Service (Amazon ECS), Oracle Cloud Platform, WordPress, AWS Elastic Beanstalk, AWS Lambda, ,,,,,,,
52, macos, AddShoppers Social Login, eAssistance Pro (discontinued), Dell Endpoint Security Suite Enterprise, Crowdbooster (discontinued), OpenText Portal, Ayasdi Core, BookSteam, WellCycle InVision, LessAccounting, Infor CloudSuite Distribution, ,,,,,,,
53, coupa, SAP Ariba Procurement, Kyriba, Concur Travel and Expense, Zip Intake-to-Procure, Oracle Cloud ERP, JAGGAER (formerly SciQuest), Workday Financial Management/Revenue Management, Basware P2P, SAP ERP, Anaplan, ,,,,,,,
54, quip, Notion, Google Drive, Conga Document Generation, Upland Altify, Google Sheets, Chatter, Amazon Chime, Gainsight Customer Cloud, Confluence, Slack, ,,,,,,,
55, zipwhip, Twilio, EZ Texting, CallFire, SimpleTexting, ClickSend, Podium, TextMagic, Avochato, OpenMarket, from Infobip, Birdeye, ,,,,,,
56, solidworks, Revit, Siemens NX CAD, DraftSight, SketchUp, Autodesk Tinkercad, Rhino 3D, Navisworks, PTC Creo, Onshape, CorelCAD, ,,,,,,,
57, smartrecruiters, Greenhouse, iCIMS, LinkedIn Talent Hub, Workday HCM, Jobvite, ZipRecruiter, Workable, SAP SuccessFactors, JazzHR, Bullhorn ATS & CRM, ,,,,,,,
58, optimizely, Firebase, VWO, Adobe Target, AB Tasty, Salesforce Marketing Cloud Interaction Studio (formerly Evergage + MyBuys), Amplitude Analytics, LaunchDarkly, Sitecore Experience Manager, Adobe Experience Manager, SiteSpect, ,,,,,,,
59, epic, Meditech Electronic Health Records, Renaissance myON® Reader, eClinicalWorks, PointClickCare Core EHR Platform, Allscripts Professional EHR, Renaissance Accelerated Reader, EpicCare EMR, MatrixCare, NextGen Healthcare EHR, Applied Epic, ,,,,,,,
60, ultipro, ADP Workforce Now, UKG Ready, Ceridian Dayforce HCM, Workday HCM, Paycom, AWS Certificate Manager, UKG Dimensions, Paylocity, Oracle Cloud HCM, Salesforce, ,,,,,,,
61, github, SonarQube, Google Drive, Confluence, Perforce Helix Core, TeamCity, Google Workspace (formerly G Suite), AccuRev, IBM Rational Team Concert, Microsoft Teams, Micro Focus Dimensions CM, ,,,,,,,
62, qualtrics, SurveyMonkey, Medallia, Google Forms, QuestionPro, LimeSurvey, REDCap, Typeform, IBM SPSS, Alchemer, formerly SurveyGizmo, Microsoft Power BI, ,,,,,,
63, gotowebinar, Zoom, Microsoft Teams, Vimeo, ON24, Hopin, Webex Webinars (formerly Webex Events), Amazon Chime, EverWebinar, BrightTALK, Webex Meetings, ,,,,,,,
64, trustarc, OneTrust, Osano, Cookiebot by Usercentrics, Archer, Collibra, LiveRamp, IBM Security Guardium, Netwrix Auditor, Crownpeak Universal Consent Platform, Varonis Data Classification Engine, ,,,,,,,
